French,English
seulement,only
pensais,thought
aide,help
demande,request
frère,brother
car,because
aucun,no
eux,them
ville,city
arrivé,come
devrait,should
place,square
compris,understood
savais,knew
attention,Warning
donner,give
leurs,their
train,train
yeux,eyes
écoute,listen
dont,whose
trouve,find
main,hand
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
droit,law
aimerais,would like to
espère,hope
eau,water
croire,believe
filles,girls
